,Player_Name,Player_Href,Player_ID,Year_Min,Year_Max,Position,Height,Weight,Birth_Date,Colleges
0,Álex Abrines,/players/a/abrinal01,abrinal01,2017,2019,G-F,6-6,200,"August 1, 1993",
1,Precious Achiuwa,/players/a/achiupr01,achiupr01,2021,2024,F,6-8,225,"September 19, 1999",Memphis
2,Quincy Acy,/players/a/acyqu01,acyqu01,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor
3,Jaylen Adams,/players/a/adamsja01,adamsja01,2019,2021,G,6-0,225,"May 4, 1996",St. Bonaventure
4,Jordan Adams,/players/a/adamsjo01,adamsjo01,2015,2016,G,6-5,209,"July 8, 1994",UCLA
5,Steven Adams,/players/a/adamsst01,adamsst01,2014,2023,C,6-11,265,"July 20, 1993",Pitt
6,Bam Adebayo,/players/a/adebaba01,adebaba01,2018,2024,C-F,6-9,255,"July 18, 1997",Kentucky
7,Deng Adel,/players/a/adelde01,adelde01,2019,2019,F,6-7,200,"February 1, 1997",Louisville
8,Jeff Adrien,/players/a/adrieje01,adrieje01,2011,2015,F,6-7,245,"February 10, 1986",UConn
9,Arron Afflalo,/players/a/afflaar01,afflaar01,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA
10,Ochai Agbaji,/players/a/agbajoc01,agbajoc01,2023,2024,G,6-5,215,"April 20, 2000",Kansas
11,Blake Ahearn,/players/a/ahearbl01,ahearbl01,2008,2012,G,6-2,190,"May 27, 1984",Missouri State
12,Alexis Ajinça,/players/a/ajincal01,ajincal01,2009,2017,C-F,7-2,248,"May 6, 1988",
13,Josh Akognon,/players/a/akognjo01,akognjo01,2013,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton"
14,DeVaughn Akoon-Purcell,/players/a/akoonde01,akoonde01,2019,2019,G,6-6,200,"June 5, 1993",Illinois State
15,Solomon Alabi,/players/a/alabiso01,alabiso01,2011,2012,C,7-1,251,"March 21, 1988",Florida State
16,Santi Aldama,/players/a/aldamsa01,aldamsa01,2022,2024,F,6-11,224,"January 10, 2001",Loyola (MD)
17,Furkan Aldemir,/players/a/aldemfu01,aldemfu01,2015,2015,F-C,6-10,240,"August 9, 1991",
18,Cole Aldrich,/players/a/aldrico01,aldrico01,2011,2018,C,6-11,250,"October 31, 1988",Kansas
19,LaMarcus Aldridge,/players/a/aldrila01,aldrila01,2007,2022,F-C,6-11,250,"July 19, 1985",Texas
20,Cliff Alexander,/players/a/alexacl01,alexacl01,2016,2016,F,6-8,245,"November 16, 1995",Kansas
21,Kyle Alexander,/players/a/alexaky01,alexaky01,2020,2020,F,6-11,220,"October 21, 1996",Tennessee
22,Ty-Shon Alexander,/players/a/alexaty01,alexaty01,2021,2021,G,6-3,195,"July 16, 1998",Creighton
23,Nickeil Alexander-Walker,/players/a/alexani01,alexani01,2020,2024,G,6-5,205,"September 2, 1998",Virginia Tech
24,Rawle Alkins,/players/a/alkinra01,alkinra01,2019,2019,G,6-5,225,"October 29, 1997",Arizona
25,Grayson Allen,/players/a/allengr01,allengr01,2019,2024,G,6-4,198,"October 8, 1995",Duke
26,Jarrett Allen,/players/a/allenja01,allenja01,2018,2024,C-F,6-11,243,"April 21, 1998",Texas
27,Kadeem Allen,/players/a/allenka01,allenka01,2018,2020,G,6-1,200,"January 15, 1993",Arizona
28,Lavoy Allen,/players/a/allenla01,allenla01,2012,2017,F-C,6-9,260,"February 4, 1989",Temple
29,Ray Allen,/players/a/allenra02,allenra02,1997,2014,G,6-5,205,"July 20, 1975",UConn
30,Tony Allen,/players/a/allento01,allento01,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State"
31,Morris Almond,/players/a/almonmo01,almonmo01,2008,2012,G,6-6,225,"February 2, 1985",Rice University
32,Jose Alvarado,/players/a/alvarjo01,alvarjo01,2022,2024,G,6-0,179,"April 12, 1998",Georgia Tech
33,Al-Farouq Aminu,/players/a/aminual01,aminual01,2011,2021,F,6-8,220,"September 21, 1990",Wake Forest
34,Lou Amundson,/players/a/amundlo01,amundlo01,2007,2016,F-C,6-9,220,"December 7, 1982",UNLV
35,Chris Andersen,/players/a/anderch01,anderch01,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College
36,Alan Anderson,/players/a/anderal01,anderal01,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State
37,James Anderson,/players/a/anderja01,anderja01,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State
38,Justin Anderson,/players/a/anderju01,anderju01,2016,2022,G,6-6,230,"November 19, 1993",Virginia
39,Kyle Anderson,/players/a/anderky01,anderky01,2015,2024,F-G,6-9,230,"September 20, 1993",UCLA
40,Ryan Anderson,/players/a/anderry01,anderry01,2009,2020,F,6-9,240,"May 6, 1988",California
41,Ike Anigbogu,/players/a/anigbik01,anigbik01,2018,2019,F-C,6-10,250,"October 17, 1998",UCLA
42,Giannis Antetokounmpo,/players/a/antetgi01,antetgi01,2014,2024,F-G,6-11,242,"December 6, 1994",
43,Kostas Antetokounmpo,/players/a/antetko01,antetko01,2019,2021,F,6-10,200,"November 20, 1997",Dayton
44,Thanasis Antetokounmpo,/players/a/antetth01,antetth01,2016,2024,F,6-7,219,"July 18, 1992",
45,Carmelo Anthony,/players/a/anthoca01,anthoca01,2004,2022,F,6-7,238,"May 29, 1984",Syracuse
46,Cole Anthony,/players/a/anthoco01,anthoco01,2021,2024,G,6-2,185,"May 15, 2000",UNC
47,Joel Anthony,/players/a/anthojo01,anthojo01,2008,2017,C,6-9,245,"August 9, 1982",UNLV
48,Pero Antić,/players/a/anticpe01,anticpe01,2014,2015,C-F,6-11,260,"July 29, 1982",
49,OG Anunoby,/players/a/anunoog01,anunoog01,2018,2024,F,6-7,232,"July 17, 1997",Indiana
50,Keith Appling,/players/a/applike01,applike01,2016,2016,G,6-1,185,"February 13, 1992",Michigan State
51,Ryan Arcidiacono,/players/a/arcidry01,arcidry01,2018,2024,G,6-3,195,"March 26, 1994",Villanova
52,Gilbert Arenas,/players/a/arenagi01,arenagi01,2002,2012,G,6-4,191,"January 6, 1982",Arizona
53,Trevor Ariza,/players/a/arizatr01,arizatr01,2005,2022,F,6-8,215,"June 30, 1985",UCLA
54,Hilton Armstrong,/players/a/armsthi01,armsthi01,2007,2014,F-C,6-11,235,"November 11, 1984",UConn
55,Darrell Arthur,/players/a/arthuda01,arthuda01,2009,2018,F,6-9,235,"March 25, 1988",Kansas
56,Jamel Artis,/players/a/artisja01,artisja01,2018,2018,G-F,6-7,213,"January 12, 1993",Pitt
57,Ömer Aşık,/players/a/asikom01,asikom01,2011,2018,C,7-0,255,"July 4, 1986",
58,D.J. Augustin,/players/a/augusdj01,augusdj01,2009,2022,G,5-11,183,"November 10, 1987",Texas
59,Deni Avdija,/players/a/avdijde01,avdijde01,2021,2024,G-F,6-9,210,"January 3, 2001",
60,Joel Ayayi,/players/a/ayayijo01,ayayijo01,2022,2022,G,6-5,180,"March 5, 2000",Gonzaga
61,Gustavo Ayón,/players/a/ayongu01,ayongu01,2012,2014,C,6-10,250,"April 1, 1985",
62,Jeff Ayres,/players/p/pendeje02,pendeje02,2010,2016,F,6-9,240,"April 29, 1987",Arizona State
63,Deandre Ayton,/players/a/aytonde01,aytonde01,2019,2024,C,7-0,250,"July 23, 1998",Arizona
64,Kelenna Azubuike,/players/a/azubuke01,azubuke01,2007,2012,G,6-5,220,"December 16, 1983",Kentucky
65,Udoka Azubuike,/players/a/azubuud01,azubuud01,2021,2024,C,6-10,280,"September 17, 1999",Kansas
